| text                                                                                                                                                                                                                                                                                                                                                                                                    |   Emotion |   EmotionalPolarity |   Empathy |
| bye                                                                                                                                                                                                                                                                                                                                                                                                     |         1 |                   1 |         1 |
| Hello. The situation in India is really terrible                                                                                                                                                                                                                                                                                                                                                        |         3 |                   2 |         4 |
| Tell me about it. What a shame that the government of India isn't taking action. It's all about profit to them it seems.                                                                                                                                                                                                                                                                                |         3 |                   1 |         4 |
| Apparently. The most worrisome part of the situation is the fact that they barely compensate the victims                                                                                                                                                                                                                                                                                                |         3 |                   2 |         4 |
| It's such a shame and a human rights abuse. Every living creature for that matter has a basic right to clean air and water. I couldn't imagine how bad it must be living near one of those mines.                                                                                                                                                                                                       |         3 |                   2 |         4 |
| Indeed. What do you think can be done on the part of the citizens in order to draw attention of the international communities?                                                                                                                                                                                                                                                                          |         2 |                   1 |         3 |
| Any change with government happens when people join together en mass. They need to be protesting outside of every politicians office. They should also spread this story to the international community to publicly shame their officials. Do you have any ideas of what can be done?                                                                                                                   |         3 |                   1 |         2 |
| In all honesty, I have no idea.                                                                                                                                                                                                                                                                                                                                                                         |         2 |                   1 |         1 |
| I can think of how in the US change was created with the civil rights movement, and the women's movement when people stood together. I think that because people like us know about the story we can help by sharing this information on social media. We can be the media for them. But what can be done about the poor elephants? They have lost their homes because of the forest's being destroyed. |         3 |                   1 |         3 |
| It's left for their government to decide                                                                                                                                                                                                                                                                                                                                                                |         2 |                   1 |         1 |
| Ultimately yes. So it's up to everyone to make sure their government works in their best interest. Some people not even receiving compensation was terrible, but what about the kids who lost their lives? No amount of money can replace life.                                                                                                                                                         |         4 |                   1 |         3 |
| True. It's really pathetic                                                                                                                                                                                                                                                                                                                                                                              |         3 |                   1 |         3 |
| There should be some sort of a program that helps these elephants get transported to a place where their homes won't be destroyed. Do you know of any charities that could help?                                                                                                                                                                                                                        |         3 |                   1 |         3 |
| Nope. I doubt if the government will allow that.                                                                                                                                                                                                                                                                                                                                                        |         2 |                   1 |         1 |
| You really don't think they would allow international help? I will pose the question... What would you do if this were happening in your hometown?                                                                                                                                                                                                                                                      |         2 |                   1 |         2 |
| The government in India is corrupt. They are involved in the illegal trade of ivory. They won't allow any external body to interfere with their business                                                                                                                                                                                                                                                |         2 |                   2 |         2 |
| You make a really good point. I wasn't thinking about that.                                                                                                                                                                                                                                                                                                                                             |         2 |                   1 |         2 |
| I've read series of disturbing stories about their activities in the illegal trade of ivory                                                                                                                                                                                                                                                                                                             |         3 |                   2 |         2 |
| I've actually heard about that a while ago. Like I stated earlier... They care about profits over people.                                                                                                                                                                                                                                                                                               |         2 |                   2 |         2 |
| Yeah. It's all about the rupees                                                                                                                                                                                                                                                                                                                                                                         |         3 |                   2 |         1 |
| I'm afraid that they will hurt these communities to the point where they create a refugee crisis.                                                                                                                                                                                                                                                                                                       |         3 |                   2 |         2 |
| That's the reality.                                                                                                                                                                                                                                                                                                                                                                                     |         2 |                   2 |         1 |
| At the very least I wonder if we could donate things like breathing masks? Maybe that could help some to breath a bit better. Or if there is a way to get them clean water delivered.                                                                                                                                                                                                                   |         2 |                   1 |         2 |
| That won't be a bad idea. How do \we\" go about that"                                                                                                                                                                                                                                                                                                                                                   |         3 |                   1 |         2 |
| I would imagine that we could set up a GoFundMe campaign. That's definitely one way to go about it.                                                                                                                                                                                                                                                                                                     |         3 |                   0 |         2 |
| There have been several scam cases with GFM                                                                                                                                                                                                                                                                                                                                                             |         2 |                   2 |         2 |
| There are alternative platforms. I would be happy to research them in detail. Charities can be looked into as well.                                                                                                                                                                                                                                                                                     |         2 |                   0 |         1 |
| That'll be great                                                                                                                                                                                                                                                                                                                                                                                        |         2 |                   0 |         1 |
| It's the least we can do, and like I said, posting on social media would help raise awareness. I just wish we could wave a wand and these communities would have clean air and water.                                                                                                                                                                                                                   |         3 |                   0 |         3 |
| goodbye                                                                                                                                                                                                                                                                                                                                                                                                 |         1 |                   1 |         1 |
| bye                                                                                                                                                                                                                                                                                                                                                                                                     |         1 |                   1 |         1 |
| The effect is terrible                                                                                                                                                                                                                                                                                                                                                                                  |         3 |                   2 |         3 |
| it is only one of many issues affecting the poorer population, but yea                                                                                                                                                                                                                                                                                                                                  |         2 |                   2 |         3 |
| I think humans are generally selfish                                                                                                                                                                                                                                                                                                                                                                    |         3 |                   2 |         3 |
| the article read mostly of financial and political greed. they just don't care                                                                                                                                                                                                                                                                                                                          |         2 |                   2 |         2 |
| Yea, It is sad and pathetic.                                                                                                                                                                                                                                                                                                                                                                            |         3 |                   2 |         3 |
| can't even blame the elephants if everything is getting destroyed. agricultural expansion is one and thing, but coal mining adds a lot more of dangerous stuff to the environment                                                                                                                                                                                                                       |         2 |                   2 |         2 |
| Yea, the pollution is massive.                                                                                                                                                                                                                                                                                                                                                                          |         2 |                   2 |         2 |
| i wonder how far the situation will have to deteriorate for them to be like Oh wait, maybe this wasn't such a good idea.                                                                                                                                                                                                                                                                                |         2 |                   2 |         2 |
| I dont see that happening sincerely. The are rich, they can afford moving to another planet!                                                                                                                                                                                                                                                                                                            |         2 |                   1 |         2 |
| what annoys me too is that the people receive promises after the fact of like an elephant incursion, but it is just that, empty promises                                                                                                                                                                                                                                                                |         2 |                   1 |         3 |
| That is what they do. They give false hopes                                                                                                                                                                                                                                                                                                                                                             |         2 |                   1 |         2 |
| the effort to change at the population level needs to be massive                                                                                                                                                                                                                                                                                                                                        |         2 |                   1 |         2 |
| People should be more orientated.                                                                                                                                                                                                                                                                                                                                                                       |         2 |                   1 |         2 |
| there is still some hope. i recall reading a different article, also from India, dealing with a big volunteer effort toward reforestation                                                                                                                                                                                                                                                               |         2 |                   0 |         3 |
| Oh, that is great. Reforestation is a great way...I hope people follow it through                                                                                                                                                                                                                                                                                                                       |         3 |                   0 |         2 |
| it was. it took them 15 years, but the new forest is thriving. the issue is the population need to be more conscientious and understand that the benefits might not be seen overnight.                                                                                                                                                                                                                  |         3 |                   0 |         2 |
| Yea, that is some nice method.                                                                                                                                                                                                                                                                                                                                                                          |         2 |                   0 |         2 |
| i'm kind of running out of things to say, and we need at least 15 messages each that are relevant to the articles                                                                                                                                                                                                                                                                                       |         1 |                   1 |         2 |
| yes...I think finding alternatives to coal is also a great idea                                                                                                                                                                                                                                                                                                                                         |         2 |                   0 |         2 |
| wind and solar are the first that come to mind                                                                                                                                                                                                                                                                                                                                                          |         1 |                   0 |         2 |
| And nuclear sources..                                                                                                                                                                                                                                                                                                                                                                                   |         1 |                   0 |         1 |
| are they capable to handle the necessary infrastructure for that? nobody wants a Chernobyl or Fukushima                                                                                                                                                                                                                                                                                                 |         2 |                   1 |         2 |
| It is good I think.                                                                                                                                                                                                                                                                                                                                                                                     |         1 |                   0 |         2 |
| they need better overall infrastructure. reaching a lot of these places is hard, if not impossible during some parts of the year                                                                                                                                                                                                                                                                        |         2 |                   1 |         3 |
| Yes. can we exchange our byes?                                                                                                                                                                                                                                                                                                                                                                          |         1 |                   1 |         1 |
| we are short a few still                                                                                                                                                                                                                                                                                                                                                                                |         1 |                   1 |         1 |
| good. I have few minutes left here. bye                                                                                                                                                                                                                                                                                                                                                                 |         1 |                   1 |         1 |
| bye                                                                                                                                                                                                                                                                                                                                                                                                     |         1 |                   1 |         1 |
| What did you think?                                                                                                                                                                                                                                                                                                                                                                                     |         1 |                   1 |         1 |
| I can not blame them for wanting to industrialize, but it still horrible.                                                                                                                                                                                                                                                                                                                               |         3 |                   2 |         2 |
| Yeah. I wish we had better options than coal. It seems like it's wrecking environments everywhere these days.                                                                                                                                                                                                                                                                                           |         2 |                   1 |         2 |
| Yeah, the people and animals over there are suffering.                                                                                                                                                                                                                                                                                                                                                  |         3 |                   1 |         3 |
| For sure. I can't imagine having an elephant burst through my house!                                                                                                                                                                                                                                                                                                                                    |         4 |                   2 |         4 |
| That would be very scary, then told you will get about 120 dollars for your broken leg.                                                                                                                                                                                                                                                                                                                 |         3 |                   2 |         4 |
| Probably wouldn't even pay for a single night's stay in a hospital.                                                                                                                                                                                                                                                                                                                                     |         2 |                   2 |         3 |
| It sucks that the people who don't even work in the mines are getting such bad lung diseases.                                                                                                                                                                                                                                                                                                           |         2 |                   2 |         3 |
| Yeah. It's bad enough when things like this affect people actually involved, but when you have people getting hurt that weren't even part of it it's just so much worse.                                                                                                                                                                                                                                |         3 |                   2 |         3 |
| I wonder if the animals are having lung issues too?                                                                                                                                                                                                                                                                                                                                                     |         2 |                   2 |         3 |
| I wouldn't be surprised; many animals have similar lung structures as humans do. It's probably why the elephants etc. have been in so many altercations lately.                                                                                                                                                                                                                                         |         2 |                   2 |         3 |
| Like I said, can't get too mad because American used a lot of coal in the 1800s and early to mid 1900s.                                                                                                                                                                                                                                                                                                 |         2 |                   1 |         2 |
| Oh for sure. Many of the appalachian areas, for example, still have serious environmental damages and generational health issues.                                                                                                                                                                                                                                                                       |         2 |                   1 |         3 |
| Many of the same areas want to continue mining coals. It sucks that we live in a world where economics out weight health.                                                                                                                                                                                                                                                                               |         3 |                   1 |         3 |
| Yeah. Economics & tradition -- many families have been in the business for so long they can't imagine doing anything else. It's their way of life almost more than it is a living.                                                                                                                                                                                                                      |         2 |                   1 |         3 |
| I know working in the US mine is a lot safer than the mine in India.                                                                                                                                                                                                                                                                                                                                    |         1 |                   0 |         3 |
| True true. Do you think we should be investing in finding cleaner forms of energy?                                                                                                                                                                                                                                                                                                                      |         1 |                   1 |         1 |
| Yes 100 percent.                                                                                                                                                                                                                                                                                                                                                                                        |         2 |                   0 |         2 |
| We're in agreement then. Something needs to be done soon before we run out of options & time.                                                                                                                                                                                                                                                                                                           |         3 |                   1 |         2 |
| I agree, but a lot people can not think about the future or other people besides themselves                                                                                                                                                                                                                                                                                                             |         2 |                   1 |         2 |
| I would like my children's children to be able to have a good life.                                                                                                                                                                                                                                                                                                                                     |         2 |                   1 |         2 |
| Same. Do you have any further thoughts?                                                                                                                                                                                                                                                                                                                                                                 |         1 |                   1 |         1 |
| No. Very nice chatting with you! bye                                                                                                                                                                                                                                                                                                                                                                    |         1 |                   0 |         1 |
| bye!                                                                                                                                                                                                                                                                                                                                                                                                    |         1 |                   0 |         1 |
| I thought this was a very sad situation, what did you think?                                                                                                                                                                                                                                                                                                                                            |         3 |                   2 |         4 |
| I think it is sad as well... Poor elephants                                                                                                                                                                                                                                                                                                                                                             |         3 |                   2 |         4 |
| I was thinking poor people, but yes sad for them too                                                                                                                                                                                                                                                                                                                                                    |         2 |                   2 |         3 |
| Well yes poor people too, it's sad all around. sad there isn't more help being given out                                                                                                                                                                                                                                                                                                                |         3 |                   2 |         3 |
| yeah the government should do something, it is ridiculous                                                                                                                                                                                                                                                                                                                                               |         2 |                   2 |         3 |
| Agreed... that is their job afterall                                                                                                                                                                                                                                                                                                                                                                    |         2 |                   2 |         3 |
| Yes, at least to make harsher penalties and laws about this                                                                                                                                                                                                                                                                                                                                             |         2 |                   2 |         2 |
| Yes, to deter it and to show people that it is wrong... It's sad what greed will do to people                                                                                                                                                                                                                                                                                                           |         3 |                   2 |         3 |
| yes all this just to turn a profit, with no regard for lives                                                                                                                                                                                                                                                                                                                                            |         3 |                   2 |         3 |
| Can you imagine living with yourself knowing you did that?                                                                                                                                                                                                                                                                                                                                              |         3 |                   2 |         2 |
| no, I could not, can yuo?                                                                                                                                                                                                                                                                                                                                                                               |         2 |                   2 |         2 |
| No... it would eat me alive                                                                                                                                                                                                                                                                                                                                                                             |         3 |                   2 |         3 |
| same here, I could not function                                                                                                                                                                                                                                                                                                                                                                         |         3 |                   2 |         3 |
| I don't get how people do it... they have to be mentally ill or unsound                                                                                                                                                                                                                                                                                                                                 |         3 |                   2 |         3 |
| yes or totally depraved                                                                                                                                                                                                                                                                                                                                                                                 |         3 |                   2 |         3 |
| I hope it catches up to all of them and they have to go through some of the suffering they have put those people and animals through                                                                                                                                                                                                                                                                    |         3 |                   2 |         4 |
| karma will catch up to them I think                                                                                                                                                                                                                                                                                                                                                                     |         2 |                   2 |         3 |
| I hope so..... They deserve it                                                                                                                                                                                                                                                                                                                                                                          |         3 |                   2 |         3 |
| I hope so too.  This has been a good talk goodbye                                                                                                                                                                                                                                                                                                                                                       |         2 |                   1 |         3 |
